Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.017579900013515726,0.0351888000004692,0.0351888000004692,0.8509862000064459,space,0.7183871000015642,None,,,,,,,,,,,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
l o m e b,0.0,non-word,z,0,0,0,90,0.8982457000092836,,,,,,,,,0.87260210000386,0.8982457000092836,0.8982457000092836,1.414443100002245,2.428563400011626,z,1.5278629999957047,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c a b l e,1.0,neutral,m,0,1,1,78,2.444211500012898,,,,,,,,,2.4298379000101704,2.444211500012898,2.444211500012898,2.944155100005446,3.211121500004083,m,0.7629504000069574,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
m o u n t a i n,1.0,neutral,m,0,2,2,71,3.2264070000092033,,,,,,,,,3.2116600000008475,3.2264070000092033,3.2264070000092033,3.741646500013303,3.8758993000083137,m,0.6436943000007886,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c a r p e t,1.0,neutral,m,0,3,3,85,3.891649299999699,,,,,,,,,3.876604300006875,3.891649299999699,3.891649299999699,4.390578600010485,4.524640600007842,m,0.6315467000094941,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s t o n e,1.0,neutral,m,0,4,4,13,4.539838500000769,,,,,,,,,4.525203500001226,4.539838500000769,4.539838500000769,5.05480830000306,5.172508600007859,m,0.627534300001571,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
f e a r f u l,1.0,negative,m,0,5,5,2,5.187279000005219,,,,,,,,,5.173049800010631,5.187279000005219,5.187279000005219,5.686754500013194,6.3023673000134295,m,1.1121207999967737,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
q u i b l e n,0.0,non-word,z,0,6,6,91,6.317392200013273,,,,,,,,,6.303021700005047,6.317392200013273,6.317392200013273,6.817033800005447,7.400128400011454,z,1.0794331000070088,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
t w o r i k,0.0,non-word,z,0,7,7,93,7.415894200006733,,,,,,,,,7.400678300007712,7.415894200006733,7.415894200006733,7.9305548000120325,8.014806800012593,z,0.5817913999926532,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
v a b l i n,0.0,non-word,z,0,8,8,1,8.029299600006198,,,,,,,,,8.015332800001488,8.029299600006198,8.029299600006198,8.52921600000991,9.078649400005816,z,1.042775400012033,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c e l e b r a t i o n,1.0,positive,m,0,9,9,75,9.093619300008868,,,,,,,,,9.079177500010701,9.093619300008868,9.093619300008868,9.60987150001165,10.176070800007437,m,1.0659563999943202,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
w a r,1.0,negative,m,0,10,10,67,10.19114680000348,,,,,,,,,10.176731400002609,10.19114680000348,10.19114680000348,10.68972360000771,11.006273700011661,m,0.8097761000099126,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s m a g l e,0.0,non-word,z,0,11,11,53,11.021718000003602,,,,,,,,,11.006815300002927,11.021718000003602,11.021718000003602,11.537195700002485,11.903987400000915,z,0.8651057000097353,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
p l a r k,0.0,non-word,z,0,12,12,45,11.920093800014001,,,,,,,,,11.904512799999793,11.920093800014001,11.920093800014001,12.43508720000682,12.784860900006606,z,0.862261899994337,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
k i n d n e s s,1.0,positive,m,0,13,13,82,12.800588100013556,,,,,,,,,12.785452399999485,12.800588100013556,12.800588100013556,13.315293300009216,14.098292800001218,m,1.2882508999900892,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
a n g e r,1.0,negative,m,0,14,14,44,14.113517400008277,,,,,,,,,14.098828900008812,14.113517400008277,14.113517400008277,14.612615100006224,15.112201800002367,m,0.9812303999933647,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s a d n e s s,1.0,negative,m,0,15,15,65,15.127918800004409,,,,,,,,,15.112746900005732,15.127918800004409,15.127918800004409,15.642986800012295,15.909756300010486,m,0.7703767999919364,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s u c c e s s,1.0,positive,m,0,16,16,35,15.924675000002026,,,,,,,,,15.910298400005559,15.924675000002026,15.924675000002026,16.423886200005654,16.724097500002244,m,0.7866250000079162,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
e x c i t e d,1.0,positive,m,0,17,17,72,16.73937890000525,,,,,,,,,16.72463609999977,16.73937890000525,16.73937890000525,17.238206400012132,17.70481340000697,m,0.9595979000005173,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
p e a c e,1.0,positive,m,0,18,18,89,17.720343000008143,,,,,,,,,17.70536260001245,17.720343000008143,17.720343000008143,18.235691600013524,18.585011900009704,m,0.856196299995645,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
g r u f f i l,0.0,non-word,z,0,19,19,49,18.601390700001502,,,,,,,,,18.585559300001478,18.601390700001502,18.601390700001502,19.116585200012196,19.550384300004225,z,0.9454981000017142,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
d r i n t,0.0,non-word,z,0,20,20,23,19.56491480000841,,,,,,,,,19.550906300006318,19.56491480000841,19.56491480000841,20.0636710000108,20.48021820001304,z,0.9002646000008099,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c o m f o r t,1.0,positive,m,0,21,21,59,20.495782700003474,,,,,,,,,20.480988400013302,20.495782700003474,20.495782700003474,21.011277000012342,21.510867300006794,m,1.0061461000004783,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c a l e n d a r,1.0,neutral,m,0,22,22,86,21.52636530000018,,,,,,,,,21.51140280000982,21.52636530000018,21.52636530000018,22.025108000001637,22.40955660000327,m,0.8707958000013605,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s u n s h i n e,1.0,positive,m,0,23,23,30,22.423945500006084,,,,,,,,,22.410232800000813,22.423945500006084,22.423945500006084,22.939241500003845,23.290593600002467,m,0.8541021999990335,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
b o o k,1.0,neutral,m,0,24,24,22,23.305191100007505,,,,,,,,,23.291360400005942,23.305191100007505,23.305191100007505,23.80355050000071,24.170285300002433,m,0.861028700004681,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
a p p l e,1.0,neutral,m,0,25,25,32,24.186270700010937,,,,,,,,,24.17082000001392,24.186270700010937,24.186270700010937,24.70142380001198,25.93303690000903,m,1.7381320999993477,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
m u r k l e,0.0,non-word,z,0,26,26,66,25.948454400000628,,,,,,,,,25.933583100006217,25.948454400000628,25.948454400000628,26.462701300013578,26.580521400013822,z,0.6264355000021169,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
p e n c i l,1.0,neutral,m,0,27,27,24,26.596189100004267,,,,,,,,,26.58106240000052,26.596189100004267,26.596189100004267,27.11155630000576,27.262016400010907,m,0.6484402999922168,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
w i n d o w,1.0,neutral,m,0,28,28,68,27.277498900002684,,,,,,,,,27.262912200007122,27.277498900002684,27.277498900002684,27.792932000011206,27.959931200006395,m,0.6775865999952657,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
l o s s,1.0,negative,m,0,29,29,29,27.97563600000285,,,,,,,,,27.960461800001212,27.97563600000285,27.97563600000285,28.491282700008014,29.207286500008195,m,1.215853200003039,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
h o p e,1.0,positive,m,0,30,30,46,29.222219800009043,,,,,,,,,29.207824500001152,29.222219800009043,29.222219800009043,29.738214299999527,29.805169500003103,m,0.5743383999943035,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
p l a r k,0.0,non-word,z,0,31,31,16,29.820982100005494,,,,,,,,,29.80569400000968,29.820982100005494,29.820982100005494,30.33615020000434,30.45355110001401,z,0.6151437000080477,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
b r a s k,0.0,non-word,z,0,32,32,79,30.469092700004694,,,,,,,,,30.45427760000166,30.469092700004694,30.469092700004694,30.983551100012846,31.201361400002497,z,0.7220823999959975,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c r y,1.0,negative,m,0,33,33,61,31.217041800002335,,,,,,,,,31.201888300012797,31.217041800002335,31.217041800002335,31.715092100013862,31.98270930000581,m,0.756089599992265,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
g r i e f,1.0,negative,m,0,34,34,62,31.9982708000025,,,,,,,,,31.98330750000605,31.9982708000025,31.9982708000025,32.4966795000073,32.730271800013725,m,0.7239128999935929,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
g r i e f,1.0,negative,m,0,35,35,50,32.74596460000612,,,,,,,,,32.73079570000118,32.74596460000612,32.74596460000612,33.26112700000522,33.51179120001325,m,0.750327899993863,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s o r r o w,1.0,negative,m,0,36,36,33,33.52726950000215,,,,,,,,,33.512312000006204,33.52726950000215,33.52726950000215,34.04261240000778,34.30915650000679,m,0.7677433999924688,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
s m i l e,1.0,positive,m,0,37,37,92,34.324874300000374,,,,,,,,,34.30968240000948,34.324874300000374,34.324874300000374,34.839847500014,35.14099490000808,m,0.8146889999916311,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c l i b b e t,0.0,non-word,z,0,38,38,12,35.15542410001217,,,,,,,,,35.1415255000029,35.15542410001217,35.15542410001217,35.6551182000112,35.822535700004664,z,0.6581203999958234,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
c r i t i c i s m,1.0,negative,m,0,39,39,26,35.837806800002,,,,,,,,,35.82314740000584,35.837806800002,35.837806800002,36.352741300011985,36.95233330001065,z,1.1076101000071503,None,z,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
w i n d o w,1.0,neutral,m,0,40,40,80,36.967115200008266,,,,,,,,,36.95286630000919,36.967115200008266,36.967115200008266,37.4666331000044,38.730945600007544,m,1.7544191999913892,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
l a m p,1.0,neutral,m,0,41,41,18,38.74623660001089,,,,,,,,,38.73161040000559,38.74623660001089,38.74623660001089,39.261360400007106,39.66139280000061,m,0.9059349999879487,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
g r i n d l e,0.0,non-word,z,0,42,42,54,39.6770181000029,,,,,,,,,39.661935500000254,39.6770181000029,39.6770181000029,40.19224320001376,40.40936370000418,z,0.7270044000033522,None,z,z,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
p l a n e t,1.0,neutral,m,0,43,43,47,40.425033600011375,,,,,,,,,40.40989750000881,40.425033600011375,40.425033600011375,40.940216900009545,41.65613710001344,m,1.2150071999931242,None,m,m,,,,009,001,2024-11-24_16h24.31.303,Lexical Decision Making,2024.1.5,None,2024-11-24 16h24.45.083390 +0530,
