Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004223399999318644,0.022531700000399724,0.022531700000399724,4.9859702000103425,space,4.8723133000021335,None,,,,,,,,,,,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
t a b l e,1.0,neutral,m,0,0,0,6,5.02413209999213,,,,,,,,,5.009223200002452,5.02413209999213,5.02413209999213,5.540068600006634,6.354913499992108,m,1.3196788000059314,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
c a l e n d a r,1.0,neutral,m,0,1,1,86,6.370929600001546,,,,,,,,,6.356514099985361,6.370929600001546,6.370929600001546,6.886170999991009,8.16751060000388,m,1.788007800001651,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
c l i b b e t,0.0,non-word,z,0,2,2,12,8.18181700000423,,,,,,,,,8.168061100004707,8.18181700000423,8.18181700000423,8.68064669999876,9.114207800012082,z,0.9245019000081811,None,z,z,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
d e s p a i r,1.0,negative,m,0,3,3,56,9.129019599989988,,,,,,,,,9.114755899994634,9.129019599989988,9.129019599989988,9.628263899998274,10.659409599989885,m,1.520923700009007,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
g r i e f,1.0,negative,m,0,4,4,50,10.675250600004802,,,,,,,,,10.66022079999675,10.675250600004802,10.675250600004802,11.174347899999702,11.789760499988915,m,1.1098690000071656,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
c r i t i c i s m,1.0,negative,m,0,5,5,26,11.805102499987697,,,,,,,,,11.790300599997863,11.805102499987697,11.805102499987697,12.32030880000093,12.720896499988157,m,0.9144398999924306,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
c h e e r f u l,1.0,positive,m,0,6,6,43,12.736399099987466,,,,,,,,,12.721474499994656,12.736399099987466,12.736399099987466,13.251815900002839,13.884427399985725,m,1.1460962999844924,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
e x c i t e d,1.0,positive,m,0,7,7,10,13.899642200005474,,,,,,,,,13.884956299996702,13.899642200005474,13.899642200005474,14.414665399992373,14.516479799989611,m,0.6021985999832395,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
t w o r i k,0.0,non-word,z,0,8,8,93,14.531749399990076,,,,,,,,,14.517013100004988,14.531749399990076,14.531749399990076,15.046347099996638,15.230167400004575,z,0.6880502999993041,None,z,z,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
w a r,1.0,negative,m,0,9,9,67,15.2461159999948,,,,,,,,,15.230704899993725,15.2461159999948,15.2461159999948,15.76110860001063,16.510405500011984,m,1.2528507000242826,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
p e a c e,1.0,positive,m,0,10,10,89,16.525980300008086,,,,,,,,,16.511134900007164,16.525980300008086,16.525980300008086,17.040886400005547,17.80677980001201,m,1.2739857000124175,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
m o u n t a i n,1.0,neutral,m,0,11,11,71,17.822019899991574,,,,,,,,,17.807324599998537,17.822019899991574,17.822019899991574,,18.272382600000128,m,0.44891989999450743,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
c a b l e,1.0,neutral,m,0,12,12,78,18.28805909998482,,,,,,,,,18.27292089999537,18.28805909998482,18.28805909998482,18.803058499994222,19.236248300003354,m,0.9312954000197351,None,m,m,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
f l o r t,0.0,non-word,z,0,13,13,11,19.251590800005943,,,,,,,,,19.236779900005786,19.251590800005943,19.251590800005943,19.766841800010297,20.0669637999963,z,0.8093809999991208,None,z,z,,,,007,001,2024-11-22_19h59.23.519,Lexical Decision Making,2024.1.5,None,2024-11-22 19h59.37.213601 +0530,
