trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,33.403093899949454,,33.38905659999,33.403093899949454,34.401112199993804,34.41665859997738,35.04966560000321,up,0,0.6331632000510581,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
21,0,21,0,35.065351800003555,,35.05160119995708,35.065351800003555,36.06325379997725,36.07886059995508,36.4797856999794,down,1,0.40969349996885285,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
22,0,22,0,36.49482669995632,,36.48120729997754,36.49482669995632,37.49203399999533,37.50843259994872,37.95831509999698,down,0,0.4564690999686718,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
23,0,23,0,37.97398680000333,,37.959726299974136,37.97398680000333,38.97143109998433,38.98817699996289,39.32113269995898,down,1,0.3405233999947086,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
24,0,24,0,39.33743999997387,,39.32254079997074,39.33743999997387,40.334311899961904,40.35078729997622,40.75065659999382,down,1,0.4133602000074461,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
25,0,25,0,40.76600949995918,,40.75204039999517,40.76600949995918,41.763694799970835,41.780300199985504,42.57885239995085,up,1,0.7979964999831282,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
26,0,26,0,42.59478639997542,,42.580905099981464,42.59478639997542,43.59261489997152,43.6086815999588,44.307712999987416,down,1,0.6981495000072755,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
27,0,27,0,44.323454800003674,,44.30918909999309,44.323454800003674,45.321228899993,45.3374367999495,45.720093299984,down,0,0.38470900000538677,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
28,0,28,0,45.7364716999582,,45.72199349995935,45.7364716999582,46.73391619999893,46.75021470000502,47.199480399955064,down,1,0.4506724999519065,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
29,0,29,0,47.21603699994739,,47.20087629999034,47.21603699994739,48.21318189997692,48.22967589995824,48.81196669995552,up,1,0.5954291000380181,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
30,0,30,0,48.82791549997637,,48.81385330000194,48.82791549997637,49.82554910000181,49.84206249995623,50.457266799989156,up,1,0.6303740000003017,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
31,0,31,0,50.473519499995746,,50.45866359997308,50.473519499995746,51.470511799969245,51.4872615999775,52.036659999983385,down,1,0.561136299977079,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
32,0,32,0,52.05254469998181,,52.038289899996016,52.05254469998181,53.050147599948104,53.06640939996578,53.53213429998141,down,0,0.4797059000120498,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
33,0,33,0,53.54870349995326,,53.533534799993504,53.54870349995326,54.54600649996428,54.56196679995628,54.929074199986644,down,1,0.36617549997754395,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
34,0,34,0,54.94485839997651,,54.930778799986,54.94485839997651,55.942098599975,55.95784539997112,56.24258329998702,down,1,0.2978075999999419,None,1,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
35,0,35,0,56.25829430000158,,56.24399499996798,56.25829430000158,57.25535269995453,57.27099339995766,57.58813029999146,down,1,0.31672629999229684,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
36,0,36,0,57.604056099953596,,57.58977550000418,57.604056099953596,58.60114709998015,58.617484499991406,59.08354939997662,down,0,0.4776391999912448,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
37,0,37,0,59.10017329995753,,59.08548149996204,59.10017329995753,60.09728819999145,60.1136995999841,60.52994129998842,down,1,0.4205735999858007,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
38,0,38,0,60.546042300004046,,60.531333299994,60.546042300004046,61.543512299947906,61.5595706999884,62.07606999995187,down,1,0.5311702999752015,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
39,0,39,0,62.092100099951494,,62.078219899965916,62.092100099951494,63.08905759995105,63.10548309999285,63.47200680000242,down,1,0.3805772999767214,None,1,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
40,0,40,0,63.48854989995016,,63.473412099992856,63.48854989995016,64.48580510000465,64.50144619995262,64.88492329994915,down,0,0.39032249996671453,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
41,0,41,0,64.90055419999408,,64.88669509999454,64.90055419999408,65.89804279996315,65.91396299999906,66.3148155999952,down,0,0.412903800024651,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
42,0,42,0,66.33032569999341,,66.31686129997252,66.33032569999341,67.32795109995641,67.34351509995759,67.76044209999964,down,1,0.42406130000017583,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
43,0,43,0,67.77684359997511,,67.7622128999792,67.77684359997511,68.77379029995063,68.78961659997003,69.77150639996398,down,1,0.9912942000082694,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
44,0,44,0,69.78781389998039,,69.77289549994748,69.78781389998039,70.78467099997215,70.80089679994853,71.40019219997339,down,0,0.598470599972643,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
45,0,45,0,71.41639339999529,,71.40202619996853,71.41639339999529,72.4136461999733,72.43025949998992,72.94650939997518,down,1,0.5315622000489384,None,-3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
46,0,46,0,72.96226959995693,,72.94876419997308,72.96226959995693,73.960068699962,73.97539519995917,74.5252922999789,down,1,0.5619374000234529,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
47,0,47,0,74.5408626999706,,74.52669009997044,74.5408626999706,75.53862579999259,75.55427079997025,76.0539482999593,down,1,0.5010936000035144,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
48,0,48,0,76.0703952999902,,76.05532739998307,76.0703952999902,77.06815349997487,77.08395030000247,77.46710799995344,down,0,0.38212189998012036,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
49,0,49,0,77.48326309997356,,77.46881099999882,77.48326309997356,78.48029609996593,78.49649069999577,78.86356699996395,down,0,0.3786339000216685,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
50,0,50,0,78.87994869996328,,78.86496669996995,78.87994869996328,79.87660359998699,79.89267869998002,80.45886489999248,down,1,0.5725717999739572,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
51,0,51,0,80.4751694999868,,80.4602603999665,80.4751694999868,81.47245979995932,81.48869279999053,82.08808339998359,up,0,0.6024643999990076,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
52,0,52,0,82.10441589995753,,82.08975649997592,82.10441589995753,83.10113909997744,83.11748959997203,83.53407669998705,down,1,0.4196906000142917,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
53,0,53,0,83.54991289996542,,83.53568649996305,83.54991289996542,84.54738439997891,84.56330320000416,85.06333579996135,up,0,0.49926650000270456,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
54,0,54,0,85.07874769996852,,85.06521969998721,85.07874769996852,86.07694810000248,86.09260419994825,86.45933679997688,up,0,0.37555940001038834,None,1,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
55,0,55,0,86.47569099999964,,86.4607506999746,86.47569099999964,87.4726565000019,87.48870889999671,87.98809239995899,down,1,0.5079997000284493,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
56,0,56,0,88.0047814999707,,87.98982369998703,88.0047814999707,89.00135320000118,89.0179261000012,89.5009269999573,down,0,0.49732820002827793,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
57,0,57,0,89.51666849997127,,89.50274529994931,89.51666849997127,90.51427479996346,90.53085139999166,91.24563929997385,down,1,0.7290664999745786,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
58,0,58,0,91.26177679997636,,91.24702219996834,91.26177679997636,92.25955099996645,92.2758495999733,93.05857910000486,up,1,0.7813274000072852,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
59,0,59,0,93.07332349999342,,93.06116549996659,93.07332349999342,94.07132079999428,94.087455699977,94.50400229997467,up,0,0.42733479995513335,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
60,0,60,0,94.52011929999571,,94.50560549995862,94.52011929999571,95.51689309999347,95.53361240000231,96.58174759999383,down,0,1.0615455000079237,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
61,0,61,0,96.59798949997639,,96.58317279996118,96.59798949997639,97.59460809995653,97.61056790000293,98.27723710000282,down,1,0.6814296999946237,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
62,0,62,0,98.29318729997613,,98.27877209999133,98.29318729997613,99.29086409998126,99.30716419999953,99.74021639995044,down,0,0.4393312000320293,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
63,0,63,0,99.75618389999727,,99.74219689995516,99.75618389999727,100.75288619997445,100.769467599981,101.20318119996227,up,1,0.4433400999987498,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
64,0,64,0,101.21892439998919,,101.20458979997784,101.21892439998919,102.21588849998079,102.23126149998279,102.59834019996924,up,0,0.3659099999931641,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
65,0,65,0,102.61429539998062,,102.59973219997482,102.61429539998062,103.61152839998249,103.62799749994883,103.94463859999087,down,1,0.3317844999837689,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
66,0,66,0,103.96081959997537,,103.94603709998773,103.96081959997537,104.95803320000414,104.97503089997917,105.57379870000295,down,0,0.6026170999975875,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
67,0,67,0,105.58938329998637,,105.5755516999634,105.58938329998637,106.58728839998366,106.60281359998044,107.25291749997996,down,1,0.6618627999559976,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
68,0,68,0,107.2686044999864,,107.25483249995159,107.2686044999864,108.26595039997483,108.28243189997738,108.79803789994912,up,0,0.5161037999787368,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
69,0,69,0,108.81418449996272,,108.79980459995568,108.81418449996272,109.81167269998696,109.82780739996815,110.19541479996406,down,0,0.3821870000101626,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
70,0,70,0,110.21060930000385,,110.19732289999956,110.21060930000385,111.20800639997469,111.22356319997925,111.74041929998202,up,0,0.5225821000058204,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
71,0,71,0,111.75608309998643,,111.74182339996332,111.75608309998643,112.75295369996456,112.76965539995581,113.11979369999608,down,1,0.36481619998812675,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
72,0,72,0,113.13578509999206,,113.12116419995436,113.13578509999206,114.13234009995358,114.14888449996943,114.43267019995255,down,0,0.29565559996990487,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
73,0,73,0,114.44820409995737,,114.43408579996321,114.44820409995737,115.44574269995792,115.46238099999027,116.19445829995675,down,1,0.7340231999987736,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
74,0,74,0,116.21038159995805,,116.19603259995347,116.21038159995805,117.20751139998902,117.22408409998752,117.92328589997487,down,1,0.706270799972117,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
75,0,75,0,117.93950209999457,,117.92471779999323,117.93950209999457,118.93606729997555,118.9524209999945,119.50196480000159,down,1,0.5609362000250258,None,-3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
76,0,76,0,119.51785639999434,,119.50395659997594,119.51785639999434,120.51585709996289,120.53146999998717,121.46302629995625,up,1,0.9366257999790832,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
77,0,77,0,121.47999179997714,,121.46442869998282,121.47999179997714,122.4773978999583,122.49315679998836,122.82590609998442,down,1,0.3367468999931589,None,-5,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
78,0,78,0,122.84218589996453,,122.82737229997292,122.84218589996453,123.84010309999576,123.85582969995448,124.58810829999857,down,0,0.733231199963484,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
79,0,79,0,124.60481150000123,,124.58950159995584,124.60481150000123,125.60132269997848,125.61769419995835,126.068035699951,down,1,0.45324930001515895,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
80,0,80,0,126.08340219996171,,126.06976799998665,126.08340219996171,127.08027159998892,127.09678449999774,127.82903099997202,up,0,0.7412962000234984,None,1,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
81,0,81,0,127.8455496999668,,127.830986499961,127.8455496999668,128.84377859998494,128.85916870000074,129.79112909996184,down,1,0.943863499967847,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
82,0,82,0,129.8068224999588,,129.792876099993,129.8068224999588,130.804556099989,130.81996259995503,131.1701823999756,down,1,0.35821040003793314,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
83,0,83,0,131.18628829997033,,131.17156659998,131.18628829997033,132.1840252999682,132.19966409995686,132.56657139997697,down,0,0.37730819999706,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
84,0,84,0,132.58184199995594,,132.56886999995913,132.58184199995594,133.57963809999637,133.59595259994967,133.87978629994905,up,1,0.29178630001842976,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
85,0,85,0,133.89537980000023,,133.88160779996542,133.89537980000023,134.89296109997667,134.90872199996375,135.52527319994988,up,1,0.6185988000361249,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
86,0,86,0,135.5410733000026,,135.5269017999526,135.5410733000026,136.5382378999493,136.55456009996124,137.30407909996575,up,1,0.7647694000042975,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
87,0,87,0,137.3201072999509,,137.30600240000058,137.3201072999509,138.31684099999256,138.33236179995583,138.86542379995808,up,0,0.5336992999655195,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
88,0,88,0,138.8819644000032,,138.86682599998312,138.8819644000032,139.87870149995433,139.89506439998513,140.4952554999618,down,1,0.6011832000222057,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
89,0,89,0,140.51104919996578,,140.49669830000494,140.51104919996578,141.50789989996701,141.52510269999038,142.0241525999736,up,1,0.49941230000695214,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
90,0,90,0,142.03999099996872,,142.02662819996476,142.03999099996872,143.03682229999686,143.05397619999712,143.51986790000228,down,0,0.46660560002783313,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
91,0,91,0,143.5358139000018,,143.52192899998045,143.5358139000018,144.53379859996494,144.54946549999295,145.01516799995443,up,0,0.476618500018958,None,2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
92,0,92,0,145.03152379998937,,145.01658959995257,145.03152379998937,146.02877739997348,146.04493489995366,147.3926916999626,down,0,1.3531837000045925,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
93,0,93,0,147.40916009998182,,147.39408199995523,147.40916009998182,148.40617259999271,148.42178709997097,149.2371196000022,up,0,0.8253523000166751,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
94,0,94,0,149.25362360000145,,149.23896200000308,149.25362360000145,150.2508775999886,150.26696869998705,151.31531009997707,up,1,1.0503655000356957,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
95,0,95,0,151.33130849996815,,151.317084099981,151.33130849996815,152.32848119997652,152.34429649997037,153.27684329997282,up,0,0.9435779000050388,None,-2,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
96,0,96,0,153.2923332999926,,153.27822369994828,153.2923332999926,154.2901550999959,154.30564069998218,154.92277219996322,up,1,0.6292747000115924,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
97,0,97,0,154.9381721999962,,154.9241809999803,154.9381721999962,155.93569739995291,155.9521143999882,156.66741029999685,down,0,0.7147631999687292,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
98,0,98,0,156.68305910000345,,156.66881000000285,156.68305910000345,157.68092749995412,157.69655059999786,158.27982219995465,down,1,0.5910862000309862,None,-3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
99,0,99,0,158.29631269996753,,158.28142909996677,158.29631269996753,159.2931265999796,159.30908599996474,160.10754649998853,down,0,0.802856000023894,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
