trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04508079995866865,,0.03058319998672232,0.04508079995866865,1.0253328999970108,1.0592993999598548,1.8530617999495007,up,1,0.7621578999678604,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
1,0,1,0,1.861016099981498,,1.8550793000031263,1.861016099981498,2.854296399978921,2.870779599994421,3.3875633999705315,up,1,0.5202590000117198,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
2,0,2,0,3.4024143999558873,,3.389401499996893,3.4024143999558873,4.400521699979436,4.416849099972751,4.9992009999696165,up,1,0.5915007999865338,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
3,0,3,0,5.015562199987471,,5.001130099990405,5.015562199987471,6.012404899985995,6.029118199949153,6.844209100003354,down,1,0.8307449000421911,None,3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
4,0,4,0,6.859982999972999,,6.8455884999712,6.859982999972999,7.857875299989246,7.873292899981607,8.92167889996199,down,0,1.055191499995999,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
5,0,5,0,8.937849699985236,,8.923077299958095,8.937849699985236,9.9358694999828,9.95137819997035,10.71775999997044,down,1,0.7682456999900751,None,-3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
6,0,6,0,10.733261699962895,,10.719382499984931,10.733261699962895,11.731148999999277,11.747025299991947,12.761435499996878,up,1,1.0131744000245817,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
7,0,7,0,12.777656999998726,,12.763162999995984,12.777656999998726,13.775444399972912,13.790871199977119,14.290187999955378,down,0,0.5103371000150219,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
8,0,8,0,14.306692399957683,,14.291578299948014,14.306692399957683,15.304608299979009,15.32082659995649,15.819610399950761,down,0,0.5120610999874771,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
9,0,9,0,15.835149799997453,,15.821797799959313,15.835149799997453,16.83316709997598,16.84955339995213,17.382222799991723,down,1,0.5410631999839097,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
10,0,10,0,17.398823099967558,,17.383615500002634,17.398823099967558,18.39496289996896,18.411465799959842,18.99395309999818,down,1,0.5949521000147797,None,-3,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
11,0,11,0,19.010058299987577,,18.995374299993273,19.010058299987577,20.007167599978857,20.02388669998618,20.47364280000329,down,1,0.4621494000311941,None,1,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
12,0,12,0,20.489944299974013,,20.475092599983327,20.489944299974013,21.487371900002472,21.50356499996269,22.468006499984767,up,1,0.9758030999801122,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
13,0,13,0,22.48384109995095,,22.469728199997917,22.48384109995095,23.48176409996813,23.497203999955673,24.17997189995367,down,1,0.6814520999905653,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
14,0,14,0,24.196125399961602,,24.18144819996087,24.196125399961602,25.193229399970733,25.209564899967518,25.709613899991382,down,1,0.5056289999629371,None,4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
15,0,15,0,25.72504889999982,,25.711685699992813,25.72504889999982,26.72217559994897,26.738430799974594,27.20523099997081,down,1,0.4674190999940038,None,-4,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
16,0,16,0,27.220843799994327,,27.206876699987333,27.220843799994327,28.217701399989892,28.234293599962257,28.700661699986085,down,0,0.4686337999883108,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
17,0,17,0,28.716810299956705,,28.702055100002326,28.716810299956705,29.713536700000986,29.730321199982427,30.39631300000474,down,0,0.6729652999783866,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
18,0,18,0,30.41306709998753,,30.39791800000239,30.41306709998753,31.410459099977743,31.42580079997424,31.941972000000533,up,1,0.5293536999961361,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
19,0,19,0,31.957442399987485,,31.943362899997737,31.957442399987485,32.95440329995472,32.97073739999905,33.38765439996496,up,1,0.41636939998716116,None,0,767818,001,2024-09-17_10h34.38.171,signal_detection_orientation,2024.1.5,None,2024-09-17 10h34.41.231913 +0530,
