Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02068449999933364,0.036191899998812005,0.036191899998812005,7.936046700000588,space,7.885982899999362,None,,,,,,,,,,,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
e x c i t e d,1.0,positive,m,0,0,0,72,7.9653603000006115,,,,,,,,,7.957268900001509,7.9653603000006115,7.9653603000006115,8.979778600001737,10.676272400000016,m,2.7012214999995194,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
g r i n d l e,0.0,non-word,z,0,1,1,54,10.691552500000398,,,,,,,,,10.677785300002142,10.691552500000398,10.691552500000398,11.705249900001945,13.119244600002276,z,2.414872800000012,None,z,z,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
s a d n e s s,1.0,negative,m,0,2,2,65,13.134942100001354,,,,,,,,,13.119782800000394,13.134942100001354,13.134942100001354,14.148706100000709,14.233400199998869,m,1.0946981000015512,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
p l a r k,0.0,non-word,z,0,3,3,45,14.248967999999877,,,,,,,,,14.23393120000037,14.248967999999877,14.248967999999877,15.262876299999334,15.479711100000713,z,1.221762299999682,None,z,z,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
w i n d o w,1.0,neutral,m,0,4,4,68,15.495026900000084,,,,,,,,,15.480269300001964,15.495026900000084,15.495026900000084,16.508846700002323,16.692728400001215,m,1.1869374999987485,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
w i n d o w,1.0,neutral,m,0,5,5,80,16.708432399998856,,,,,,,,,16.6933194000012,16.708432399998856,16.708432399998856,17.722637300001225,20.333228499999677,m,3.623822099998506,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
l a m p,1.0,neutral,m,0,6,6,18,20.348397300000215,,,,,,,,,20.333769299999403,20.348397300000215,20.348397300000215,21.36251809999885,22.07810750000135,m,1.7173284000018612,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
l o m e b,0.0,non-word,z,0,7,7,90,22.093751500000508,,,,,,,,,22.078655199999048,22.093751500000508,22.093751500000508,23.10806919999959,23.291366199999175,z,1.1815979999992123,None,z,z,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
b o t t l e,1.0,neutral,m,0,8,8,58,23.3070899000013,,,,,,,,,23.291900299998815,23.3070899000013,23.3070899000013,24.321666800002276,24.488553999999567,m,1.1757183000008808,None,m,m,,,,005,001,2024-11-20_23h38.38.797,Lexical Decision Making,2024.1.5,None,2024-11-20 23h38.54.671575 +0530,
