delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000.0,exp,0,10,10,9,61.327173199970275,,61.312751699995715,61.327173199970275,62.32453899999382,62.32453899999382,62.34159219998401,62.6912016000133,space,0.36038720002397895,None,62.69203869998455,62.806856166691674,63.12294989998918,63.107487500004936,63.10750889999326,63.12294989998918,63.12294989998918,63.12294989998918,67.83165900001768,400,1,[4.722870600002352],[4.722886200004723],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,0,11,11,7,67.84252579999156,,67.83258300001035,67.84252579999156,68.84029409999494,68.84029409999494,68.85640230000718,69.33985059999395,space,0.49373729998478666,None,69.34066980000352,69.7542911666717,70.07007479999447,70.05708080000477,70.05710209999233,70.07007479999447,70.07007479999447,70.07007479999447,71.75402719998965,200,1,[1.6955366000183858],[1.695551200013142],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,400.0,unexp,1,0,12,1,71.76541360002011,,71.75483719998738,71.76541360002011,72.76257000002079,72.76257000002079,72.77961049997248,73.97674499999266,space,1.2127545999828726,None,73.9771277999971,74.39196376665883,74.70719380001538,74.69254989997717,74.69257199997082,74.70719380001538,74.70719380001538,74.70719380001538,76.02663129998837,700,1,[1.3327197000035085],[1.332728200010024],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,1,1,13,7,76.03703120001592,,76.02807629999006,76.03703120001592,77.03464550001081,77.03464550001081,77.05093540000962,77.99999709997792,space,0.9631201999727637,None,78.00071370002115,78.4138730666639,78.74602810002398,78.73018640000373,78.73020420002285,78.74602810002398,78.74602810002398,78.74602810002398,80.69146010000259,300,1,[1.9600568999885581],[1.9600622999714687],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,1,2,14,4,80.70770400000038,,80.69208060001256,80.70770400000038,81.70478939998429,81.70478939998429,81.72173519997159,81.92282380000688,space,0.20320969994645566,None,81.92330979998223,82.33662866667534,82.65244450001046,82.63650979998056,82.63654390000738,82.65244450001046,82.65244450001046,82.65244450001046,87.34476870001527,400,1,[4.706359900010284],[4.706374900008086],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,1,3,15,3,87.35576659999788,,87.3459057,87.35576659999788,88.3531427999842,88.3531427999842,88.36985580000328,88.8198045999743,space,0.4547004000050947,None,88.82042619999265,88.9352800666859,89.25058100000024,89.23712050000904,89.23713939997833,89.25058100000024,89.25058100000024,89.25058100000024,91.44673399999738,200,1,[2.208074599970132],[2.2080858999979682],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,1,4,16,6,91.46210890001385,,91.44769930001348,91.46210890001385,92.45897179999156,92.45897179999156,92.47545119997812,92.49354699999094,space,0.020669199991971254,None,92.4939364999882,92.60879196663542,92.92427199997474,92.90927130001364,92.90928889997303,92.92427199997474,92.92427199997474,92.92427199997474,95.11992520000786,200,1,[2.2093620999949053],[2.2093728000181727],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,400.0,unexp,1,5,17,0,95.13534290000098,,95.12072690000059,95.13534290000098,96.13244010001654,96.13244010001654,96.14919849997386,96.33302209997782,space,0.19702920003328472,None,96.33344100002432,96.44857036666168,96.76433689997066,96.7492510000011,96.74928330001421,96.76433689997066,96.76433689997066,96.76433689997066,102.53629820002243,400,1,[5.784825499984436],[5.784840799984522],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,1,6,18,9,102.54875850002281,,102.5375805000076,102.54875850002281,103.54569250001805,103.54569250001805,103.56218269997044,103.76313859998481,space,0.2080825999728404,None,103.76382079999894,103.87870926666461,104.19407259998843,104.181191199983,104.18122179998318,104.19407259998843,104.19407259998843,104.19407259998843,108.92055320000509,400,1,[4.7378544000093825],[4.737862500012852],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,1,7,19,8,108.93076529999962,,108.92184409999754,108.93076529999962,109.92866560001858,109.92866560001858,109.94498450000538,111.2094263000181,space,1.2785784999723546,None,111.20981909998227,111.92249746667609,112.23786120000295,112.22227269998984,112.22229499998502,112.23786120000295,112.23786120000295,112.23786120000295,113.67194839997683,700,1,[1.4483997999923304],[1.448408099997323],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,400.0,unexp,1,8,20,2,113.68363579997094,,113.67265419999603,113.68363579997094,114.68204980000155,114.68204980000155,114.6977804999915,115.08092300000135,space,0.3919700999977067,None,115.08130720001645,115.79515976668723,116.1104054999887,116.09459749999223,116.0946302000084,116.1104054999887,116.1104054999887,116.1104054999887,124.82396060001338,300,1,[8.72768549999455],[8.727693099994212],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,1,9,21,11,124.83686550002312,,124.82456069998443,124.83686550002312,125.83398509997642,125.83398509997642,125.85121789999539,126.00167660001898,space,0.16211110004223883,None,126.00205850001657,126.71543536667401,127.03095629997551,127.01851580000948,127.01854730001651,127.03095629997551,127.03095629997551,127.03095629997551,130.92159819998778,700,1,[3.901280299993232],[3.901296199997887],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,1,10,22,10,130.93671259999974,,130.9230015000212,130.93671259999974,131.9340948999743,131.9340948999743,131.9504468999803,132.2349291999708,space,0.28890769998542964,None,132.23545450001257,132.64882776665425,132.96546630002558,132.9478016999783,132.9478286000085,132.96546630002558,132.96546630002558,132.96546630002558,134.59882269997615,500,1,[1.649460699991323],[1.649470999953337],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,1,11,23,5,134.61011999996845,,134.60008160001598,134.61011999996845,135.6072607000242,135.6072607000242,135.62448950001271,136.55585529998643,space,0.9402122999890707,None,136.55636099999538,137.27031046664732,137.58542889996897,137.57010150002316,137.57012450002367,137.58542889996897,137.58542889996897,137.58542889996897,138.96654009999475,700,1,[1.3949770999606699],[1.394984599959571],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
