Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.012538800001493655,0.02847710000060033,0.02847710000060033,33.08079820000057,space,32.92336459999933,None,,,,,,,,,,,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
s m i l e,1.0,positive,m,0,0,0,92,33.13817610000115,,,,,,,,,33.12184160000106,33.13817610000115,33.13817610000115,33.653426200002286,35.484111000001576,m,2.3366217000002507,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
d e l i g h t,1.0,positive,m,0,1,1,39,35.51513370000248,,,,,,,,,35.48738850000154,35.51513370000248,35.51513370000248,36.0304692000027,36.66321860000244,m,1.134759299999132,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
f e a r f u l,1.0,negative,m,0,2,2,2,36.678481900002225,,,,,,,,,36.66420149999976,36.678481900002225,36.678481900002225,37.17784540000139,37.698083499999484,m,1.0037026999998488,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
s o r r o w,1.0,negative,m,0,3,3,33,37.72554020000098,,,,,,,,,37.699284700000135,37.72554020000098,37.72554020000098,38.24092770000061,39.52213240000128,m,1.7830211999971652,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
w a r,1.0,negative,m,0,4,4,67,39.537663000002794,,,,,,,,,39.523268000000826,39.537663000002794,39.537663000002794,40.05242940000244,41.64954990000115,m,2.1024985000003653,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
p l a r k,0.0,non-word,z,0,5,5,45,41.66477339999983,,,,,,,,,41.6504969000016,41.66477339999983,41.66477339999983,42.18025040000066,49.57825100000264,z,7.898919700000988,None,z,z,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
g r i n d l e,0.0,non-word,z,0,6,6,17,49.593418700002076,,,,,,,,,49.57917770000131,49.593418700002076,49.593418700002076,50.108282600001985,61.263272700001835,z,11.660010600000533,None,z,z,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
e x c i t e d,1.0,positive,m,0,7,7,10,61.277999400001136,,,,,,,,,61.2642001000022,61.277999400001136,61.277999400001136,61.79340840000077,62.02748040000006,m,0.7426096000017424,None,m,m,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
p l o r,0.0,non-word,z,0,8,8,52,62.04237450000073,,,,,,,,,62.02840020000076,62.04237450000073,62.04237450000073,62.557620999999926,62.89189940000142,z,0.8471043999998074,None,z,z,,,,010,001,2024-11-23_18h21.33.983,Lexical Decision Making,2024.1.5,None,2024-11-23 18h21.50.495612 +0530,
