stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.05388000002130866,,0.03678840002976358,0.05388000002130866,0.5188311999663711,0.5188311999663711,0.5694353000726551,0.8185644999612123,1.5775423999875784,left,-10.0,1,1,0.9893237000796944,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
1,2,8.0,1.582519800052978,,1.5776101000374183,1.582519800052978,2.081950700026937,2.081950700026937,2.098319699987769,2.3968033000128344,2.54747650003992,left,-8.0,1,1,0.45381360000465065,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
2,2,6.0,2.5633876000065356,,2.547572400071658,2.5633876000065356,3.061970700044185,3.061970700044185,3.0782292999792844,3.360598100000061,3.5284985000034794,left,-6.0,1,1,0.45929490006528795,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
3,2,4.0,3.54348370002117,,3.528562600025907,3.54348370002117,4.042230900027789,4.042230900027789,4.042230900027789,4.341583900037222,4.558598599978723,right,4.0,1,1,0.5040405000327155,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
4,2,2.0,4.575896900030784,,4.55866610002704,4.575896900030784,5.072874800069258,5.072874800069258,5.089356599957682,5.372377700055949,5.522426099982113,right,2.0,1,1,0.4375159000046551,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
5,2,1.0,5.538482300005853,,5.522497500060126,5.538482300005853,6.037003600038588,6.037003600038588,6.053640400059521,6.336081000044942,6.553660299978219,right,1.0,1,1,0.514978599967435,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
6,1,1.0,6.569361999980174,,6.55377060000319,6.569361999980174,7.067514700000174,7.067514700000174,7.084476900054142,7.367186999996193,7.41776680003386,left,-1.0,0,0,0.33912230003625154,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
7,1,2.0,7.432978100026958,,7.417906800052151,7.432978100026958,7.931679900037125,7.931679900037125,7.9488166000228375,8.23124320001807,8.331789599964395,left,-2.0,1,1,0.38753750000614673,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
8,1,2.0,8.347084300010465,,8.331854599993676,8.347084300010465,8.846265400061384,8.846265400061384,8.862707299995236,9.161974800052121,9.229325899970718,left,-2.0,1,1,0.3803420999320224,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
9,1,2.0,9.245149199967273,,9.229432399966754,9.245149199967273,9.743472500005737,9.743472500005737,9.75990439997986,10.042770100058988,10.126775500015356,right,2.0,0,0,0.3674950000131503,217263,001,2024-09-09_11h16.31.372,adaptive_staircase,2024.1.5,None,2024-09-09 11h16.33.845321 +0530,
