stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.0863025999860838,,0.05889270000625402,0.0863025999860838,0.5135293999919668,0.5135293999919668,0.5960886999964714,0.8275168999098241,1.1310144999297336,right,10.0,1,1,0.6036644999403507,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
1,2,8.0,1.14317779999692,,1.1311123999767005,1.14317779999692,1.642713199951686,1.642713199951686,1.6595497999805957,1.9579713999992236,2.0591205999953672,right,8.0,1,1,0.4076629999326542,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
2,2,6.0,2.074124199920334,,2.0592518999474123,2.074124199920334,2.572993899928406,2.572993899928406,2.590516799944453,2.8724306999938563,2.9229969999287277,right,6.0,1,1,0.34064119996037334,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
3,2,4.0,2.9383544999873266,,2.9230883999262005,2.9383544999873266,3.437385299941525,3.437385299941525,3.437385299941525,3.7363917999900877,3.9701064999680966,left,-4.0,1,1,0.5278898000251502,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
4,2,2.0,3.985413799993694,,3.9701898000203073,3.985413799993694,4.482994699967094,4.482994699967094,4.5010353999678046,4.784380199969746,5.00038969994057,right,2.0,1,1,0.5023735999129713,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
5,1,1.0,5.0159271999727935,,5.000534899998456,5.0159271999727935,5.515319400001317,5.515319400001317,5.515319400001317,5.813962199958041,5.931448100018315,right,1.0,0,0,0.40326230006758124,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
6,1,2.0,5.946450999937952,,5.93158490001224,5.946450999937952,6.44521509995684,6.44521509995684,6.44521509995684,6.74481940001715,6.912976499996148,left,-2.0,0,0,0.4645814000396058,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
7,1,3.0,6.927417599945329,,6.913062099949457,6.927417599945329,7.426006200024858,7.426006200024858,7.426006200024858,7.725680299918167,8.009695400018245,left,-3.0,0,0,0.5724219999974594,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
8,1,4.0,8.024349399958737,,8.00980909995269,8.024349399958737,8.523433099966496,8.523433099966496,8.54053009999916,8.83892739994917,9.005798399914056,right,4.0,1,1,0.47245130001101643,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
9,1,4.0,9.02204279997386,,9.005895099951886,9.02204279997386,9.521186299971305,9.521186299971305,9.53767330001574,9.836355099920183,9.970040599931963,left,-4.0,1,1,0.44196259998716414,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
10,1,4.0,9.986173499957658,,9.970147299929522,9.986173499957658,10.484277199953794,10.484277199953794,10.501508599962108,10.784046299988404,10.834717700025067,right,4.0,1,1,0.342219699989073,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
11,0.5,3.0,10.849985899985768,,10.834852500003763,10.849985899985768,11.349130299990065,11.349130299990065,11.365971599938348,11.648132000002079,12.530399399925955,right,3.0,0,0,1.1703613999998197,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
12,0.5,3.5,12.545793199911714,,12.53049239993561,12.545793199911714,13.044221799937077,13.044221799937077,13.061271699960344,13.343242599978112,13.926295800018124,right,3.5,1,1,0.872423299937509,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
13,0.5,3.5,13.94129410001915,,13.926383499987423,13.94129410001915,14.44085469993297,14.44085469993297,14.456811800017022,14.756656499928795,16.369189099990763,right,3.5,0,0,1.927170000039041,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
14,0.5,4.0,16.384945699945092,,16.369278899976052,16.384945699945092,16.883074300014414,16.883074300014414,16.900252499966882,17.182564400020055,18.180428199935704,right,4.0,0,0,1.2865750000346452,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
15,0.5,4.5,18.19619909999892,,18.180514900013804,18.19619909999892,18.69502779992763,18.69502779992763,18.712216099957004,18.993914999999106,20.15864039992448,left,-4.5,0,0,1.447466399986297,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
16,0.5,5.0,20.174503799993545,,20.15877829992678,20.174503799993545,20.672698399983346,20.672698399983346,20.68984309991356,20.971926799975336,21.73817979998421,right,5.0,0,0,1.062208899995312,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
17,0.5,5.5,21.753371899947524,,21.738265799940564,21.753371899947524,22.25129719998222,22.25129719998222,22.268707099952735,22.550865299999714,23.681955299922265,left,-5.5,0,0,1.4176418000133708,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
18,0.5,6.0,23.698128500021994,,23.682039199979044,23.698128500021994,24.19688699999824,24.19688699999824,24.21285120001994,24.51309509994462,25.128574099973775,right,6.0,0,0,0.9224554999964312,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
19,0.5,6.5,25.145089600002393,,25.128658299916424,25.145089600002393,25.64319610001985,25.64319610001985,25.65939819999039,25.942028200021014,33.43888459994923,left,-6.5,0,0,7.786900200066157,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
20,0.5,7.0,33.45484219992068,,33.43901889992412,33.45484219992068,33.95370549999643,33.95370549999643,33.96913099999074,34.25255939993076,35.582957300008275,left,-7.0,1,1,1.6162720000138506,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
21,0.5,7.0,35.59868950000964,,35.58306390000507,35.59868950000964,36.0970903999405,36.0970903999405,36.11481930001173,36.39672580000479,36.630316099966876,right,7.0,1,1,0.5258246000157669,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
22,0.5,7.0,36.64577719999943,,36.63042800000403,36.64577719999943,37.14453869999852,37.14453869999852,37.14453869999852,37.44541109993588,37.795678499969654,right,7.0,1,1,0.6360263000242412,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
23,0.5,6.5,37.8109743000241,,37.7957709999755,37.8109743000241,38.308458199957386,38.308458199957386,38.32513429992832,38.607405800023116,38.79150389996357,right,6.5,1,1,0.4737713999347761,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
24,0.5,6.5,38.806858900003135,,38.791609499952756,38.806858900003135,39.305238600005396,39.305238600005396,39.32143449992873,39.60463469999377,39.87179909995757,left,-6.5,1,1,0.5518465999048203,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
25,0.5,6.5,39.88684449996799,,39.87188320001587,39.88684449996799,40.385316199972294,40.385316199972294,40.385316199972294,40.68500029994175,41.18622699996922,left,-6.5,1,1,0.7930623000720516,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
26,0.5,6.0,41.20041469996795,,41.18633179995231,41.20041469996795,41.699145299964584,41.699145299964584,41.71618959994521,41.998010399984196,42.979360900004394,left,-6.0,1,1,1.2680581999011338,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
27,0.5,6.0,42.994933699956164,,42.979443199932575,42.994933699956164,43.49385119997896,43.49385119997896,43.51020419993438,43.793692099978216,47.08510009991005,left,-6.0,0,0,3.583418900030665,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
28,0.5,6.5,47.10037509992253,,47.08525120001286,47.10037509992253,47.598890400025994,47.598890400025994,47.615513899945654,47.89872459997423,48.76364000001922,left,-6.5,1,1,1.1592711999546736,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
29,0.5,6.5,48.779263100004755,,48.76374089997262,48.779263100004755,49.278655499918386,49.278655499918386,49.29531810001936,49.59447020001244,49.99317319993861,right,6.5,1,1,0.7093547000549734,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
30,0.5,6.5,50.00975610001478,,49.99325349996798,50.00975610001478,50.5076922000153,50.5076922000153,50.524971499922685,50.807519100024365,51.22352639993187,left,-6.5,1,1,0.7110622000182047,514545,001,2024-09-06_11h33.56.311,adaptive_staircase,2024.1.5,None,2024-09-06 11h33.59.955667 +0530,
