stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.06909370003268123,,0.048772000009194016,0.06909370003268123,0.5164355000015348,0.5164355000015348,0.5688093000790104,0.8329075000947341,15.468672899995,right,10.0,1,1,14.862523299991153,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
1,2,8.0,15.473903200007044,,15.468774700071663,15.473903200007044,15.97384420002345,15.97384420002345,15.989634900004603,16.289544800063595,16.804983900045045,left,-8.0,1,1,0.8258577999658883,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
2,2,6.0,16.82123290002346,,16.80506820010487,16.82123290002346,17.32003619999159,17.32003619999159,17.336853999993764,17.61934050009586,18.085434500011615,left,-6.0,1,1,0.7595290000317618,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
3,2,4.0,18.101551500032656,,18.085543400025927,18.101551500032656,18.599412200041115,18.599412200041115,18.616072200005874,18.8988185999915,19.11582210008055,right,4.0,1,1,0.5105872999411076,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
4,2,2.0,19.131417700089514,,19.11593950004317,19.131417700089514,19.63009560003411,19.63009560003411,19.64698690001387,19.929576400085352,20.861619700095616,right,2.0,1,1,1.2207979999948293,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
5,2,1.0,20.876154600060545,,20.861701700021513,20.876154600060545,21.375430700019933,21.375430700019933,21.375430700019933,21.67400780005846,21.90838480007369,right,1.0,1,1,0.5181337000103667,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
6,2,1.0,21.92417660006322,,21.908469500020146,21.92417660006322,22.422744500101544,22.422744500101544,22.439433700055815,22.738536500022747,23.52130310004577,right,1.0,1,1,1.0952929999912158,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
7,1,1.0,23.536163700046018,,23.521383000072092,23.536163700046018,24.034264000016265,24.034264000016265,24.034264000016265,24.334091300028376,24.76724010007456,left,-1.0,0,0,0.7173679999541491,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
8,1,2.0,24.783028900041245,,24.767325600027107,24.783028900041245,25.281607300043106,25.281607300043106,25.29803780000657,25.580823000054806,25.980458500096574,left,-2.0,1,1,0.6897579000797123,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
9,1,2.0,25.99586280004587,,25.980540000018664,25.99586280004587,26.49484470009338,26.49484470009338,26.49484470009338,26.793890500091948,26.977852900046855,right,2.0,1,1,0.47000900004059076,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
10,1,2.0,26.99347820004914,,26.977933500078507,26.99347820004914,27.49260660004802,27.49260660004802,27.50821810006164,27.79123490001075,28.22402790002525,right,2.0,1,1,0.7222324000904337,656739,001,2024-09-06_11h24.00.790,adaptive_staircase,2024.1.5,None,2024-09-06 11h24.05.848470 +0530,
